iter	Passed	Remaining
0	135	135057
1	136	68332
2	138	46159
3	140	35021
4	142	28368
5	144	24007
6	146	20822
7	148	18406
8	150	16589
9	152	15084
10	154	13871
11	155	12842
12	157	11963
13	159	11223
14	160	10564
15	162	9997
16	164	9492
17	165	9053
18	167	8666
19	169	8324
20	171	7998
21	173	7714
22	175	7447
23	177	7205
24	178	6974
25	180	6770
26	182	6578
27	184	6393
28	185	6225
29	187	6064
30	189	5916
31	191	5781
32	192	5648
33	194	5527
34	196	5409
35	197	5293
36	199	5187
37	200	5088
38	202	4994
39	204	4907
40	206	4823
41	208	4744
42	209	4660
43	210	4580
44	212	4507
45	213	4435
46	215	4370
47	216	4302
48	218	4246
49	220	4181
50	221	4116
51	222	4062
52	224	4014
53	226	3961
54	227	3905
55	228	3852
56	230	3805
57	231	3759
58	232	3711
59	234	3670
60	235	3629
61	237	3585
62	238	3543
63	239	3504
64	241	3466
65	242	3432
66	244	3398
67	244	3357
68	245	3316
69	247	3285
70	248	3248
71	249	3216
72	251	3188
73	252	3156
74	253	3129
75	254	3097
76	256	3072
77	257	3048
78	259	3025
79	260	2999
80	262	2975
81	263	2949
82	264	2922
83	265	2897
84	266	2873
85	268	2850
86	269	2826
87	270	2802
88	271	2775
89	272	2755
90	274	2737
91	275	2716
92	276	2697
93	277	2678
94	279	2659
95	280	2639
96	281	2620
97	281	2595
98	283	2579
99	284	2560
100	286	2548
101	287	2528
102	288	2511
103	289	2497
104	290	2478
105	292	2464
106	293	2448
107	294	2434
108	295	2418
109	296	2402
110	298	2392
111	299	2375
112	300	2358
113	301	2342
114	302	2325
115	303	2310
116	304	2297
117	305	2284
118	306	2269
119	307	2257
120	309	2246
121	310	2235
122	311	2223
123	313	2213
124	314	2201
125	315	2188
126	316	2177
127	317	2165
128	318	2152
129	319	2140
130	320	2128
131	321	2115
132	322	2104
133	324	2095
134	325	2084
135	326	2072
136	328	2066
137	329	2059
138	331	2051
139	332	2044
140	334	2038
141	336	2031
142	337	2023
143	338	2012
144	340	2005
145	341	1998
146	343	1992
147	344	1985
148	345	1973
149	346	1965
150	348	1959
151	349	1951
152	351	1944
153	352	1936
154	353	1928
155	354	1918
156	356	1913
157	357	1906
158	359	1900
159	361	1895
160	362	1889
161	364	1883
162	365	1876
163	367	1872
164	368	1866
165	370	1862
166	372	1857
167	373	1851
168	375	1845
169	376	1839
170	378	1834
171	380	1830
172	381	1825
173	383	1819
174	385	1815
175	386	1809
176	387	1803
177	389	1797
178	391	1793
179	392	1788
180	394	1784
181	395	1777
182	397	1772
183	398	1768
184	399	1762
185	401	1755
186	402	1748
187	403	1741
188	404	1733
189	405	1726
190	406	1720
191	407	1713
192	408	1706
193	409	1699
194	410	1692
195	410	1685
196	411	1679
197	412	1672
198	413	1665
199	414	1658
200	415	1652
201	416	1645
202	417	1637
203	417	1630
204	418	1623
205	419	1617
206	420	1610
207	421	1604
208	422	1597
209	422	1591
210	423	1584
211	424	1578
212	425	1571
213	426	1565
214	427	1559
215	428	1553
216	428	1547
217	429	1540
218	430	1534
219	431	1528
220	431	1521
221	432	1515
222	433	1510
223	434	1504
224	434	1498
225	435	1492
226	436	1486
227	437	1481
228	438	1475
229	439	1469
230	440	1465
231	441	1459
